DFT code: Vasp
Path: /home/student/zylu/materials_5/mp-1112170_KInCl3/3_bs
k-points to ignore: 0
Extrema search depth (eV): 2
Energy range: 0.5


+----------+------------+---------------------------------------+------------------------+----------------------------+
| particle | band-index |               direction               | Least squares m* (m_e) | Finite difference m* (m_e) |
+----------+------------+---------------------------------------+------------------------+----------------------------+
|   hole   |     29     |             [ 1. -0.  1.]             |        -0.0320         |          -0.0730           |
|   hole   |     29     |               [1. 0. 1.]              |        -0.1573         |          -1.7371           |
|   hole   |     29     |   [1.         1.         1.99999896]  |        -0.2016         |          -4.5363           |
|   hole   |     29     |               [1. 1. 2.]              |        -0.0437         |          -0.0456           |
|   hole   |     29     |               [1. 1. 1.]              |        -0.0419         |          -0.0302           |
|   hole   |     29     |               [1. 1. 1.]              |        -0.1934         |          -4.5446           |
|   hole   |     30     |               [1. 0. 1.]              |        -1.3948         |          -1.4006           |
|   hole   |     30     |   [1.         1.         1.99999896]  |        -0.1746         |          -0.6921           |
|   hole   |     30     |   [1.         1.         2.00000104]  |        -1.2326         |           1.4135           |
|   hole   |     30     | [ 1.         -2.00000624  1.        ] |        -17.4470        |          -67.8570          |
|   hole   |     30     |             [ 1. -2.  1.]             |        -10.9784        |          -7.3661           |
|   hole   |     30     |             [-0.  1. -1.]             |        -45.1195        |          -25.3571          |
|   hole   |     30     | [ 1.          1.         -2.00000624] |        -17.4470        |          -67.8570          |
|   hole   |     30     |             [ 1.  1. -2.]             |        -10.9796        |          -7.3652           |
|   hole   |     31     |               [1. 0. 1.]              |        -1.3948         |          -1.4006           |
|   hole   |     31     |             [ 1. -0.  1.]             |        -0.1162         |          -0.2920           |
|   hole   |     31     |               [1. 0. 1.]              |        -6.3726         |         -121.9961          |
|   hole   |     31     |   [1.         1.         1.99999896]  |        -0.4789         |          -4.7200           |
|   hole   |     31     |               [1. 1. 2.]              |        -0.6228         |           0.1173           |
|   hole   |     31     |               [1. 1. 1.]              |        -0.4032         |           0.0848           |
|   hole   |     31     |               [1. 1. 1.]              |        -0.3202         |          -4.2649           |
|   hole   |     31     | [ 1.          1.         -1.99999688] |        -0.1934         |          134.8113          |
|   hole   |     31     |   [1.         1.99999688 1.        ]  |        -1.6471         |          -1.6524           |
|   hole   |     32     |               [1. 0. 1.]              |        -60.9091        |          -61.4838          |
|   hole   |     32     |   [1.         1.99999688 1.        ]  |        -6.3795         |          -8.4869           |
|   hole   |     32     |   [1.         1.99999688 1.        ]  |        -24.7616        |          -13.8150          |
| electron |     33     |               [1. 0. 1.]              |         1.3095         |           1.5461           |
| electron |     33     |             [ 1. -0.  1.]             |         0.5463         |           0.5957           |
| electron |     33     |               [1. 0. 1.]              |         0.7284         |           0.6614           |
| electron |     33     |               [1. 1. 2.]              |         0.1974         |           0.2876           |
| electron |     33     |   [1.         1.         1.99999896]  |         0.5606         |           0.2991           |
| electron |     33     |   [1.         1.99999688 1.        ]  |         0.0118         |           0.5123           |
| electron |     34     |             [ 1. -0.  1.]             |         0.1174         |           0.0677           |
| electron |     34     |               [1. 0. 1.]              |         0.1175         |           0.2614           |
| electron |     34     |               [1. 1. 2.]              |         0.1603         |           0.2091           |
| electron |     34     |   [1.         1.         1.99999896]  |         0.0569         |           0.0546           |
| electron |     34     |               [1. 1. 1.]              |         0.0518         |           0.0485           |
| electron |     34     |               [1. 1. 1.]              |         0.1535         |           0.1820           |
| electron |     35     |               [1. 0. 1.]              |         0.9655         |           0.9669           |
| electron |     36     |               [1. 0. 1.]              |         0.9655         |           0.9669           |
+----------+------------+---------------------------------------+------------------------+----------------------------+
