DFT code: Vasp
Path: /home/student/zylu/materials_5/mp-1114001_RbInCl3/3_bs
k-points to ignore: 0
Extrema search depth (eV): 2
Energy range: 0.5


+----------+------------+------------------------------------+------------------------+----------------------------+
| particle | band-index |             direction              | Least squares m* (m_e) | Finite difference m* (m_e) |
+----------+------------+------------------------------------+------------------------+----------------------------+
|   hole   |     29     |           [ 1. -0.  1.]            |        -0.0351         |          -0.0603           |
|   hole   |     29     |             [1. 0. 1.]             |        -0.1670         |          -1.5781           |
|   hole   |     29     | [1.         1.         2.00000104] |        -0.2063         |          -3.4857           |
|   hole   |     29     | [1.         1.         1.99999896] |        -0.0484         |          -0.0408           |
|   hole   |     29     |             [1. 1. 1.]             |        -0.0251         |          -0.2627           |
|   hole   |     29     |             [1. 1. 1.]             |        -0.2090         |          -3.1828           |
|   hole   |     30     |             [1. 0. 1.]             |        -1.3257         |          -1.3277           |
|   hole   |     31     |             [1. 0. 1.]             |        -1.3257         |          -1.3278           |
|   hole   |     31     |           [ 1. -0.  1.]            |        -0.1760         |           0.0591           |
|   hole   |     31     |             [1. 0. 1.]             |        -6.2112         |          -75.5475          |
|   hole   |     31     | [1.         1.         2.00000104] |        -0.5138         |          -4.3623           |
|   hole   |     31     | [1.         1.         1.99999896] |        -1.0250         |           0.1454           |
|   hole   |     31     |             [1. 1. 1.]             |        -0.7979         |           1.3370           |
|   hole   |     31     |             [1. 1. 1.]             |        -0.3341         |          -3.9814           |
|   hole   |     31     | [1.         1.99999688 1.        ] |        -1.5100         |          -1.7562           |
|   hole   |     32     |             [1. 0. 1.]             |        -49.2475        |          -49.4974          |
|   hole   |     32     |             [1. 2. 1.]             |        -19.4019        |          -22.4243          |
|   hole   |     32     | [1.         1.99999688 1.        ] |        -94.0272        |          -57.2100          |
|   hole   |     32     | [1.         1.99999688 1.        ] |       -104.6802        |          21.1174           |
| electron |     33     |           [ 1. -0.  1.]            |         0.4408         |           0.5982           |
| electron |     33     |             [1. 0. 1.]             |         0.9972         |           0.6300           |
| electron |     33     | [1.         1.         1.99999896] |         0.5466         |           0.2915           |
| electron |     33     | [1.         1.         2.00000104] |         0.2078         |           0.3131           |
| electron |     34     |             [1. 0. 1.]             |         0.4322         |           0.3344           |
| electron |     34     | [1.         1.         2.00000104] |         0.4236         |           0.3139           |
| electron |     34     |             [1. 1. 1.]             |         0.7072         |           0.5870           |
| electron |     34     |             [1. 1. 1.]             |         0.2082         |           0.3960           |
| electron |     35     |             [1. 0. 1.]             |         0.8758         |           0.8771           |
| electron |     36     |             [1. 0. 1.]             |         0.8758         |           0.8771           |
+----------+------------+------------------------------------+------------------------+----------------------------+
